06　聯華滿天星,16.0
71　卡迪那薯條茄汁,55.0
97　統一純喫茶－紅,30.0
16　伯朗咖啡,19.0
厚蛋鮪魚飯糰,27.0
大口法香烤雞飯糰,35.0
光泉米漿（罐裝）,25.0
肉鬆飯糰,23.0
桂格穀珍堅果,85.0
穀珍銀耳杏仁,85.0
咖哩雞燴飯,58.0
統一陽光無加糖高纖豆漿450ml盒,20.0
鮪魚飯糰,25.0
九二無鉛汽油,25.5
核桃胚芽穀粉,98.0
芝麻黑豆穀粉,98.0
82　生活泡沫綠茶,22.0
02　美粒果紅葡萄蘋,30.0
CA美粒果莓妍系,30.0
CD生活泡沫綠茶,42.0
福樂鮮攪草莓奶茶400ml,20.0
鮪魚飯糰,25.0
九二無鉛汽油,25.5
77　塑膠袋１０公斤,1.0
24　原味巡禮海苔捲,35.0
13　波的多蚵仔煎,35.0
中興九號米12kg/包三等米,529.0
台灣高麗菜-1.3kg+-10%/粒,25.0
台灣高麗菜-1.3kg+-10%/粒,25.0
三好大師系列特級米4kg/包,189.0
台灣紅蘿蔔600g+-5%/袋,18.0
台灣馬鈴薯-130g+-10%/粒,8.0
手續費,10.0
蜂蜜奶油鬆餅（２入）,28.0
冰鎮紅茶６５０ｍｌ,25.0
九二無鉛汽油,26.3
極緻經典-克林姆麵包,25.0
肉鬆飯糰,23.0
金孔雀禮盒,209.0
紅茶拿鐵,25.0
鮪魚飯糰,25.0
皇家奶茶,28.0
泡沫綠茶ＴＰ３００,10.0
皇家奶茶,28.0
26　躍盛皇后吐司,26.0
39　白吐司,23.0
34　香蕉（屏東蕉）,69.0
佛蒙特咖哩飯,60.0
錫蘭紅茶蛋糕,25.0
家福五香花生,68.0
食在對味-海鮮,75.0
食在對味-香菇風味,75.0
九二無鉛汽油,25.5
中興九號米12kg/包三等米,529.0
96　生活泡沫紅茶,11.0
39　白吐司,25.0
光泉鮮豆漿,20.0
鮪魚飯糰,25.0
統一麥香奶茶TP300,10.0
北海鱈魚香絲,80.0
家福五香花生,68.0
家福蒜茸花生,68.0
厚蛋鮪魚飯糰,27.0
光泉鮮豆漿（罐裝）,25.0
肉鬆飯糰,23.0
(區)燻雞沙拉飯糰,18.0
波蜜果菜汁盒400ml(盒),25.0
立頓草莓奶茶400ml,25.0
基本頻道節目收視費,990.0
家福蒜茸花生,68.0
大口日式豬排飯糰（三,35.0
64　立頓英式量販包,129.0
32　立頓原味量販包,129.0
39　白吐司,25.0
74　特趣迷你巧克力,168.0
促銷-專(饗),297.0
39　白吐司,25.0
39　ＡＢ優酪乳－原,45.0
(熱)光泉米漿Can320,25.0
鮪魚飯糰,25.0
飲冰室茶集綠奶茶,25.0
蜂蜜奶油鬆餅（２入）,28.0
九二無鉛汽油,25.9
北海鱈魚香絲,80.0
有賀脆紫菜海苔,69.0
珍珍-芝麻鱈絲,109.0
穀珍銀耳杏仁,85.0
養殖魚出清,25.0
$紅棗桂圓茶,144.0
錫蘭紅茶蛋糕,25.0
飲冰室茶集綠奶茶,25.0
三好品鮮米12kg/包,518.0
紅茶拿鐵,25.0
大口醬燒雞排飯糰,35.0
藍莓寒天貝果,28.0
瑞穗全脂鮮乳230ml,25.0
鮑菇脆筍飯糰（三配）,22.0
大滿足原味麻醬涼麵－,45.0
光泉鮮豆漿（罐裝）,25.0
三好品鮮米12kg/包,479.0
三好品鮮長米12kg/包,479.0
台灣迷你杏鮑菇600g+-5%/袋,45.0
台式出清,29.0
統一麥香奶,36.0
遠傳大寬頻ADSL網路月租費,166.0
84　乖乖五香,16.0
